サークル,活動内容,活動日時・場所,所属人数,設立年,外国人学生の受け入れる状況,ラベル1,ラベル２
軟式野球部,私たち軟式野球部は東京六大学軟式野球連盟に所属し、春季秋季のリーグ戦を上位大会の出場を目指し戦っています。近年では六大学秋季リーグ戦優勝、東日本大会ベスト8という好成績を収め大学軟式野球界を引っ張るリーディングチームであるという自覚を持ち、日々の練習に取り組んでいます。部員は甲子園出場経験のあるものから高校野球未経験者までさまざまなものがいて、顔ぶれは豊かではありますが、とにかく真剣に少しでもうまくなろうと全員が努力していることは共通していることです。大学で全国大会を目指したい、真剣に野球をしたいけどサークルだと物足りない人などにはオススメです！,月〜金曜日/9時〜11時or13時/石神井公園・浮間公園など,46人,1961年,0人,スポーツ（球技）,野球
理工硬式野球部,理工系六大学リーグに属している、早稲田大学で唯一の硬式野球サークルです。活動は週1~3 回。六大学でリーグ戦優勝を目指して日々活動しています。マネージャーは、早稲田はもちろん日本女子大学や東京女子大学、清泉女子大学、学習院女子大学、東京家政大学、昭和女子大学、共立女子大学など様々な大学の学生が所属しています。活動場所は様々で、駒沢公園野球場、江戸川球場、神宮室内練習場、朝霞市民球場、小野路球場、上柚木球場、立川公園球場など都内または東京近郊の球場で主に練習や試合をしています。3月の宮崎合宿、5月の新歓合宿、9月の夏合宿や東京ドームでの試合、海外遠征などに加え、体育館レクなどその他野球以外のイベントも充実しています。 「理工」と名がついていますが、文系の学生も多数在籍しています！,平日（授業後）・土日/都内または東京近郊の野球場,"41人
",1961年,0人,スポーツ（球技）,野球
江戸の会（軟式野球同好会）,今年で50年目を迎える、軟式野球サークル江戸の会です！毎週火、金の2回、経験者と未経験者関係なく混じって練習しています。サークルのイベントとしては、4月には新歓合宿があり、6月と11月には1泊2日の大会合宿があります。そこでは色んな学年の人とチームを組んで試合を行なうことで非常に結束力が高まります。さらに、9月の夏合宿では、野球の練習はもちろん、川遊びや肝試し、花火などのレクリエーションも行います。そして3月には春合宿も行います。また、年間大会にも積極的に参加しており、プロスタや関東大会を目指し日々練習を頑張っています。また野球だけでなく、納涼船やスノボ合宿、学年ディズニーなどマネージャーさんも楽しめるようなイベントも行っています。,毎週火・金曜日/15時から19時の間/上井草・浮間・哲学堂など,60人,1974年,2人,スポーツ（球技）,野球
プロ野球ファンサークル　セレクト,とにかくみんな野球が大好き！ 12球団のファンのみならずMLBや六大学のファンまで幅広く所属し、みんなで観戦に行くのはもちろん、ハマスタでの草野球や早稲田祭の出店などなど、楽しいイベントも盛りだくさん！ そして週2回、都立公園の野球場にて軟式野球をしています！ あまり強くはありませんが、初心者も女子も一緒に仲良くプレーしているのが特徴なので、まったり草野球したい人、同じ球団のファン友が欲しい人はぜひセレクトで最高の大学生活を！ 他大生や兼サーも大歓迎です！,毎週火・金曜日/17時～21時/都立公園の野球場(草野球)、不定期/関東の主な野球場(野球観戦),50人,1986年,0人,スポーツ（球技）,野球
早稲田大学女子軟式野球部ＷＡＳＥＢＩ,"こんにちは！私たちは早稲田で唯一の女子軟式野球サークルです！週に3,4日程、都内のグラウンドで活動をしています！WASEBIのいいところは、真剣に野球に向き合えることです！大学に入ってからもたくさん体を動かしたい方はもちろん、新しい事に挑戦したい方も大歓迎です！私たちのチームは、大学から野球を始めた選手たちが大半を占めており、中にはスポーツ経験がない選手もいます！それでも監督や先輩たちが親切かつ丁寧に指導をしてくれるので、未経験者であってもレギュラーになれます！また、留学生も積極的に受け入れているので、野球をしながら国際交流もできちゃいます！！野球を始めるのにきっかけなんて必要ありません！このページを見たら女子野球にもっと興味が出てきたはず！！体験に来てみたらきっと「入りたい！」と思うに間違いありません！！超絶怒涛の青春を保証します！！お待ちしています！","平日1,2回(サークル員の時間割に合わせて決定)、（土）、日
長期休み：火、木、土、日/都内グラウンド","16人
","1995年
",2人,スポーツ（球技）,野球
早稲田理工軟式野球部,通称「りこなん」という名前で活動しています。選手は全員理工生で構成されており、平日の週2回都内グラウンドにて活動をしています。最近では早稲田リーグなどでも好成績を残すことができており日々神宮球場出場に向けて練習しています。合宿も年6回行っており、イベントを織り交ぜ1年間を通して楽しく和気あいあいと活動しております。イベントの例としましては、新入生歓迎BBQ、納涼船、クリスマスパーティーなど多種多様にわたっています。その他にも学年で旅行に行ったり合宿に参加したりと数多くの行事と自由に行っています。通年にわたって選手、マネともに募集しているのでぜひ気軽に連絡してください！！野球をやりたくなった人、スポーツをやりたい人、大人数でわいわい応援したい人、大学生活を共に楽しめる友達をりこなんでみつけてみませんか？りこなんで最高の大学生活を送りましょう！！,平日不定期週2日/19時〜(17時〜)21時/城北公園・哲学堂・上高田,80人,,0人,スポーツ（球技）,野球
稲穂キッカーズ,オール早稲田の早稲田最大最強のサッカーサークル。月水金の練習でプレーヤー、マネージャー共に成長しタイトルを獲ることを目標に活動する。,毎週月･水･金曜日/小石川･赤羽･新砂,70人,"1961年
",0人,スポーツ（球技）,サッカー
早稲田大学理工サッカー部,通称”りこさ”や”早理”と呼ばれるサッカーサークル。練習は基本的に月・木の週2回行い、週末は試合や合宿、遠征を行う。50年以上の歴史があり、早稲田の中で最も歴史のあるサッカーサークルの一つである。2013年度は早稲田大学内の最強サッカーサークルを決める学内統一戦で優勝、サークル界で一番大きなマガジン杯で3位という成績を残した。また、2015年度には関東の強豪チームが集まる新関東リーグの2部で優勝、マガジン杯では6位になった。さらに2016年度には関東予選を勝ち抜いた全国大会で準優勝を果たした。理工学生が中心となっていたが、近年は商、政経、スポ科、人科などの文系学部、他学部からの入部も多い。マネージャーは早稲田生と他大学生がいるインカレサークルである。入会費なし、部費は不定期。,毎週月・木・土曜日/落合・小石川・舞浜・田無など,"125人
","1961年
",0人,スポーツ（球技）,サッカー
人間科学部サッカー部　ヒューマンＦ．Ｃ．,サークルサッカー最高峰「新関東フットボールリーグ」に所属。総勢120名からなるサッカーサークル。「リーグ制覇」「日本一」のタイトル獲得に向け、週に3〜4回キャンパス周辺で練習・練習試合をしています。全国大会出場経験者から素人まで幅広い人材がたくさんいます。気持ちのこもった熱いプレー、あきれるほどの明るさが持ち味です。過去には早稲田学内戦連覇や日本一を獲得。サッカーをしたい人はもちろん、他にも熱量を感じられる環境が欲しい人、とにかく楽しいキャンパスライフを送りたい人はぜひ。所沢キャンパス最大級のサークルでぜひ楽しい学生生活を過ごしましょう。新歓活動も精力的に行いますし、途中からでも大歓迎です。ぜひ連絡をください。,毎週月・水・金曜日/所沢周辺,120人,1992年,0人,スポーツ（球技）,サッカー
リヴェルデーデ,"こんにちは！早稲田大学公認フットサルサークルのLiberdadeです！毎週日曜日に吉祥寺で活動していて、男子55人、女子35人です！男子は中学までの経験者が多いので、ゆるーくフットサルしてます！女子もプレイヤーなので、女子だけでフットサルをしたり、男子に混ざったりしてます！もちろん初心者の子がほとんどです！優しくてうるさい人で溢れてるせいでほんとに楽しくて、気が付いたら毎週来ちゃいます！またフットサル以外の活動でも、夏合宿や秋合宿、スノボ合宿なども行ったり、様々なイベントも企画しているので、フットサル以外も充実すること間違いないです！！
サークル内もちょー仲良しで、活動前にご飯やカラオケなどに行ったり、学年ごとに分かれて旅行など、とりあえず本当に仲が良いです！！Liberdadeは本当にいい意味でゆったりしているので、高校生の休み時間のような、節度を守る範囲で楽しめる限界まで楽しみまくる！！という感覚です！フットサルもやりたいけど、合宿やイベントなどもできるサークルに入りたいって思ってる人！！是非分別のあって、節度を守る範囲で最高に楽しみたいって人！！絶対にLiberdadeが一番です！！",毎週日曜日、16:00〜18:00、フットサルパーク吉祥寺,80人,"1997年
",0人,スポーツ（球技）,サッカー
